timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-06-19,98.79,120.0,96.91,98.67,130065.51125,1529452799999,12839843.2750858,28856,76030.22658,7518120.475816,0
2018-06-20,98.67,99.13,95.21,97.72,141985.64173,1529539199999,13782651.3579555,28109,86205.48305,8365644.8563107,0
2018-06-21,97.72,99.3,96.0,96.72,137564.825,1529625599999,13359242.491736,27061,89085.65445,8649548.4926048,0
2018-06-22,96.74,96.87,80.02,84.8,232108.91398,1529711999999,20336007.6290002,49836,129606.23184,11368175.5060068,0
2018-06-23,84.75,86.77,81.31,82.73,165849.75562,1529798399999,13847070.9212274,33337,101453.62802,8474249.626433,0
2018-06-24,82.76,83.63,73.22,80.37,250304.81918,1529884799999,19659622.6025612,51231,144419.64864,11343855.2654459,0
2018-06-25,80.46,84.38,78.55,81.48,164736.37327,1529971199999,13384187.7377008,34791,99167.85404,8059925.0923179,0
2018-06-26,81.48,81.99,75.0,75.54,118123.18034,1530057599999,9353924.3990311,20213,66891.78085,5299687.7976217,0
2018-06-27,75.63,81.75,74.87,80.6,139175.33409,1530143999999,10907247.0625975,25034,80491.39387,6302600.3658673,0
2018-06-28,80.71,81.43,73.89,74.05,179829.06566,1530230399999,14111508.6826739,29603,103367.20211,8119469.1815401,0
2018-06-29,74.24,80.79,72.15,78.94,182184.86448,1530316799999,13628167.3719328,31677,108816.98204,8131875.0682947,0
2018-06-30,78.94,84.59,78.84,81.33,170407.29923,1530403199999,13873276.6907395,27835,103568.43676,8428467.4306337,0
2018-07-01,81.34,81.83,77.73,79.95,145195.40481,1530489599999,11578099.2779205,23604,89443.87515,7135071.6745421,0
2018-07-02,79.96,87.06,78.11,85.36,171028.13169,1530575999999,14148269.2234263,29795,105343.52079,8714577.9944463,0
2018-07-03,85.36,90.0,83.64,85.09,192538.98749,1530662399999,16697670.121509,33969,112686.43807,9776687.7473724,0
2018-07-04,84.87,89.01,83.98,85.28,119209.87857,1530748799999,10301557.5862838,19372,68536.9045,5925469.1653501,0
2018-07-05,85.23,87.11,81.77,83.33,170561.63319,1530835199999,14375938.528664,32553,98132.20143,8272331.9343648,0
2018-07-06,83.26,84.23,80.67,83.1,156241.98721,1530921599999,12927067.5168636,30334,97755.77659,8087464.6711254,0
2018-07-07,83.1,85.35,79.4,84.79,161497.86946,1531007999999,13194718.2053427,25320,99511.53292,8132590.3144776,0
2018-07-08,84.88,85.7,81.81,82.22,151162.89899,1531094399999,12714183.7492641,25706,97025.99916,8161679.2687744,0
2018-07-09,82.26,83.12,79.8,80.46,164942.79095,1531180799999,13486143.2798038,26646,103395.20391,8457748.3524468,0
2018-07-10,80.58,80.62,74.25,75.81,211707.97169,1531267199999,16301339.7445156,32786,122774.17699,9458403.9888199,0
